reason,,vessel,imo,operation_date,report_date,archive_time,grade,grade_raw,quantity,unit,port,operation_raw,operation,rank_operation,direction,lo_country_code,lo_city_code,,charterer,supplier,receiver,source_file,source_sheet,source_imo,min_dist,bargolink
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,ADFINES SKY,9580986,1/17/2017,7/26/2017,7/26/2017,GS002,Alkylate,14976,MT,Amsterdam,bldate,Bill date,14,Load,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9580986&vessel=&poi=&startdate=2017-01-12 00:00:00&enddate=2017-01-22 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,ADFINES SKY,9580986,1/17/2017,6/17/2017,6/17/2017,GS002,Alkylate,14976,MT,Amsterdam,bldate,Bill date,14,Load,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9580986&vessel=&poi=&startdate=2017-01-12 00:00:00&enddate=2017-01-22 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,STEN FJELL,9460241,12/20/2016,6/17/2017,6/17/2017,GS037,HCCS (High Catalytic Cracked Spirit),14175,MT,Antwerp,bldate,Bill date,14,Load,BE,ANR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9460241&vessel=&poi=&startdate=2016-12-15 00:00:00&enddate=2016-12-25 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,STEN FJELL,9460241,12/20/2016,3/30/2017,3/30/2017,GS037,HCCS (High Catalytic Cracked Spirit),14175,MT,Antwerp,bldate,Bill date,14,Load,BE,ANR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9460241&vessel=&poi=&startdate=2016-12-15 00:00:00&enddate=2016-12-25 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,STEN FJELL,9460241,12/20/2016,7/26/2017,7/26/2017,GS037,HCCS (High Catalytic Cracked Spirit),14175,MT,Antwerp,bldate,Bill date,14,Load,BE,ANR,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9460241&vessel=&poi=&startdate=2016-12-15 00:00:00&enddate=2016-12-25 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,SLOMAN HERMES,9466738,1/16/2017,6/17/2017,6/17/2017,GS018,Catalytic Cracked Spirit,13450,MT,Amsterdam,bldate,Bill date,14,Discharge,NL,AMS," most likely one month early bill , should be matched to arrival on 2017-02-15 17:00:47 at 4935",,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9466738&vessel=&poi=&startdate=2017-01-11 00:00:00&enddate=2017-01-21 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,SLOMAN HERMES,9466738,1/16/2017,7/26/2017,7/26/2017,GS018,Catalytic Cracked Spirit,13450,MT,Amsterdam,bldate,Bill date,14,Discharge,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9466738&vessel=&poi=&startdate=2017-01-11 00:00:00&enddate=2017-01-21 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,SLOMAN HERMES,9466738,1/16/2017,3/30/2017,3/30/2017,GS018,Catalytic Cracked Spirit,13450,MT,Amsterdam,bldate,Bill date,14,Discharge,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9466738&vessel=&poi=&startdate=2017-01-11 00:00:00&enddate=2017-01-21 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,PATARA,9344423,12/16/2016,6/17/2017,6/17/2017,GS011,Naphtha,12500,MT,Amsterdam,arriveddate,Arrived,1,Discharge,NL,AMS,"should be matched to arrival on 2017-01-15 16:13:36 at 105800 ,and 2017-01-16 19:00:35 at 105006",,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9344423&vessel=&poi=&startdate=2016-12-11 00:00:00&enddate=2016-12-21 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,PATARA,9344423,12/16/2016,3/30/2017,3/30/2017,GS011,Naphtha,12500,MT,Amsterdam,arriveddate,Arrived,1,Discharge,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9344423&vessel=&poi=&startdate=2016-12-11 00:00:00&enddate=2016-12-21 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,PATARA,9344423,12/16/2016,7/26/2017,7/26/2017,GS011,Naphtha,12500,MT,Amsterdam,arriveddate,Arrived,1,Discharge,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9344423&vessel=&poi=&startdate=2016-12-11 00:00:00&enddate=2016-12-21 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,ELI KNUTSEN,9409261,12/15/2016,6/17/2017,6/17/2017,GS019,EBOB,12356,MT,Amsterdam,bldate,Bill date,14,Discharge,NL,AMS, 2017-01-14 17:00:34 arrive at 106343,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9409261&vessel=&poi=&startdate=2016-12-10 00:00:00&enddate=2016-12-20 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,ELI KNUTSEN,9409261,12/15/2016,7/26/2017,7/26/2017,GS019,EBOB,12356,MT,Amsterdam,bldate,Bill date,14,Discharge,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9409261&vessel=&poi=&startdate=2016-12-10 00:00:00&enddate=2016-12-20 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,ELI KNUTSEN,9409261,12/15/2016,3/30/2017,3/30/2017,GS019,EBOB,12356,MT,Amsterdam,bldate,Bill date,14,Discharge,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9409261&vessel=&poi=&startdate=2016-12-10 00:00:00&enddate=2016-12-20 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,STEN MOSTER,9341184,3/7/2014,7/26/2017,7/26/2017,GS011,Naphtha,8453,MT,Amsterdam,arriveddate,Arrived,1,Discharge,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9341184&vessel=&poi=&startdate=2014-03-02 00:00:00&enddate=2014-03-12 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
