Vessel,Laycan From,Laycan To,Destination,Origin,Charterer
Ocean Lily,6-Jan-17,13-Feb-17,China,Malongo,Sinochem Group
Bm Bonanza,6-Jan-17,22-Jan-17,China,Pyrenees,
New Vista,6-Jan-17,20-Feb-17,China,Espirito Santo,Tesoro
Lian An Hu,6-Jan-17,12-Jan-17,China,Bohai Century,
Landbridge Prosperity,5-Jan-17,26-Jan-17,China,Mina Al Fahal,
Xin Tong Zhou,5-Jan-17,10-Jan-17,China,Mercuria Storage,
Awtad,5-Jan-17,3-Mar-17,China,Galveston Light.,BP
Jupiter Sun,5-Jan-17,10-Jan-17,China,Kozmino,UNIPEC
Erik Spirit,5-Jan-17,11-Jan-17,China,Geoje,
Jana,4-Jan-17,18-Feb-17,China,Palanca,Total
Brightoil Grace,4-Jan-17,15-Feb-17,China,Pazflor,UNIPEC
Brightoil Grace,4-Jan-17,12-Feb-17,China,Pazflor,UNIPEC
Dht Sundarbans,4-Jan-17,11-Feb-17,China,Kizomba C Saxi,NPI
Dht Sundarbans,4-Jan-17,6-Feb-17,China,Kizomba C Saxi,NPI
Nautilus,4-Jan-17,26-Jan-17,China,Mina Al Fahal,Glencore
Maran Callisto,4-Jan-17,1-Apr-17,China,Linggi Light.,
New Enterprise,4-Jan-17,21-Feb-17,China,Jose Terminal,PetroChina
Leonidas,4-Jan-17,23-Feb-17,China,Malongo,UNIPEC
Awtad,4-Jan-17,14-Mar-17,China,Galveston Light.,BP
Awtad,4-Jan-17,3-Mar-17,China,Galveston Light.,BP
Lian Ping Hu,4-Jan-17,15-Jan-17,China,UT,
Awtad,4-Jan-17,14-Mar-17,China,Galveston Light.,BP
Shizukisan,3-Jan-17,30-Jan-17,China,Mina Al Fahal,
Bahamas Spirit,3-Jan-17,8-Jan-17,China,Kozmino,Mercuria
Bei Hai Ming Wang,3-Jan-17,8-Jan-17,China,Beibu II,
New Aspire,3-Jan-17,17-Feb-17,China,Djeno,UNIPEC
New Aspire,3-Jan-17,10-Feb-17,China,Djeno,UNIPEC
Eagle San Antonio,3-Jan-17,17-Feb-17,China,Baobab,Trafigura
Delta Poseidon,3-Jan-17,15-Feb-17,China,P-47,
Seaheritage,2-Jan-17,20-Jan-17,China,Xinxijiang  Field I,
Seaheritage,2-Jan-17,6-Jan-17,China,Xinxijiang  Field I,
Amore Mio Ii,2-Jan-17,14-Feb-17,China,Zueitina,UNIPEC
Amore Mio Ii,2-Jan-17,12-Feb-17,China,Zueitina,UNIPEC
Long Hu San,2-Jan-17,27-Jan-17,China,Juaymah,PetroChina
Long Hu San,2-Jan-17,22-Jan-17,China,Juaymah,PetroChina
Nave Buena Suerte,2-Jan-17,3-Feb-17,China,Pacific Terminal,
Front Signe,2-Jan-17,7-Feb-17,China,Kizomba C Mondo,UNIPEC
Feng Huang Zuo,2-Jan-17,9-Jan-17,China,Bohai Pengbo,
Wu Tai San,2-Jan-17,30-Jan-17,China,Juaymah,SPC
Yong Xing Zhou,2-Jan-17,6-Jan-17,China,Dalian,
Maran Lyra,2-Jan-17,17-Jan-17,China,Linggi Light.,
Brightoil Legend,2-Jan-17,8-Jan-17,China,Kozmino,
Pecos,1-Jan-17,1-Mar-17,China,Covenas,
Starlight Venture,1-Jan-17,8-Feb-17,China,Sao Sebastiao,Petrobras
Yamuna Spirit,1-Jan-17,13-Feb-17,China,Esmeraldas,Baere
Pu Tuo San,1-Jan-17,24-Jan-17,China,Al Basrah,Gunvor
Dong Ting Hu,1-Jan-17,6-Jan-17,China,Dongying,
Songa Coral,1-Jan-17,6-Jan-17,China,Kozmino,Trafigura
Gener8 Zeus,12-Aug-17,22-Sep-17,Japan,East Coast Mexico,
Marina,28-Jul-17,7-Sep-17,Japan,Malongo,Total
Negishi Maru,17-Jul-17,19-Jul-17,Japan,Kiire,
Good News,17-Jul-17,18-Jul-17,Japan,Ulsan,
Atromitos,17-Jul-17,3-Sep-17,Japan,Hound Point,Glencore
Trikwong Venture,16-Jul-17,6-Aug-17,Japan,Juaymah,
M.Star,16-Jul-17,4-Aug-17,Japan,Juaymah,RIL
Asian Progress Iii,14-Jul-17,3-Aug-17,Japan,Mina Al Fahal,
Kaimon Maru,14-Jul-17,16-Jul-17,Japan,Kiire,
Cosglory Lake,13-Jul-17,5-Aug-17,Japan,Juaymah,PetroChina
Omega Trader,12-Jul-17,1-Aug-17,Japan,Juaymah,
Negishi Maru,12-Jul-17,12-Jul-17,Japan,Kiire,
Takaoka,11-Jul-17,29-Jul-17,Japan,Ras Tanura,
Yuri Senkevich,11-Jul-17,18-Jul-17,Japan,Sakhalin I,
Stena Suede,11-Jul-17,2-Aug-17,Japan,Dos Bocas,Cosmo Oil
Gassan,11-Jul-17,3-Aug-17,Japan,Al Basrah,
Yakumosan,10-Jul-17,30-Jul-17,Japan,Juaymah,
Tokyo Maru,10-Jul-17,14-Jul-17,Japan,Kiire,
Eneos Breeze,10-Jul-17,29-Jul-17,Japan,Halul Island,
Overseas Tanabe,10-Jul-17,29-Jul-17,Japan,Zirku,
Tsurumi,10-Jul-17,31-Jul-17,Japan,Zirku,
Cosglory Lake,10-Jul-17,5-Aug-17,Japan,Das Island,PetroChina
M.Star,10-Jul-17,4-Aug-17,Japan,Jebel Dhanna,RIL
Stavanger Blossom,9-Jul-17,17-Jul-17,Japan,Kozmino,
Overseas Tanabe,9-Jul-17,29-Jul-17,Japan,Das Island,
Gener8 Success,9-Jul-17,1-Aug-17,Japan,Juaymah,Showa Shell Sekiyu
Shinsei Maru,8-Jul-17,12-Jul-17,Japan,Kiire,
Takaoka,8-Jul-17,29-Jul-17,Japan,Mina Al-Ahmadi,
Zaliv Aniva,8-Jul-17,14-Jul-17,Japan,Sakhalin II,
Kaimon Maru,8-Jul-17,11-Jul-17,Japan,Kiire,
Tsurumi,8-Jul-17,31-Jul-17,Japan,Ras Tanura,
Asian Progress Iii,7-Jul-17,3-Aug-17,Japan,Zirku,
C.Majesty,7-Jul-17,1-Aug-17,Japan,Halul Island,
C.Majesty,7-Jul-17,1-Aug-17,Japan,Halul Island,
Omega Trader,7-Jul-17,1-Aug-17,Japan,Zirku,
Takasaki,7-Jul-17,26-Jul-17,Japan,Juaymah,
Mare Oriens,7-Jul-17,14-Jul-17,Japan,Kozmino,
Csk Shelton,7-Jul-17,17-Jul-17,Japan,Seria,Taiyo Oil
Negishi Maru,7-Jul-17,7-Jul-17,Japan,Kiire,
Asian Progress Iii,6-Jul-17,3-Aug-17,Japan,Das Island,
Omega Trader,6-Jul-17,1-Aug-17,Japan,Das Island,
Kazusa,6-Jul-17,24-Jul-17,Japan,Al Shaheen I,
Yakumosan,6-Jul-17,30-Jul-17,Japan,Fateh,
C.Majesty,5-Jul-17,1-Aug-17,Japan,Juaymah,
Eneos Breeze,5-Jul-17,29-Jul-17,Japan,Mina Al-Ahmadi,
Bright Harmony,5-Jul-17,24-Jul-17,Japan,Mina Al-Ahmadi,
New Achievement,5-Jul-17,25-Jul-17,Japan,Juaymah,PetroChina
Jin-Ei,4-Jul-17,26-Jul-17,Japan,Zirku,
Gener8 Success,4-Jul-17,1-Aug-17,Japan,Halul Island,Showa Shell Sekiyu
Sakuragawa,4-Jul-17,28-Jul-17,Japan,Das Island,
Trysil Spirit,4-Jul-17,11-Jul-17,Japan,Ruby,
Tokyo Maru,4-Jul-17,6-Jul-17,Japan,Kiire,
Eneos Breeze,4-Jul-17,29-Jul-17,Japan,Kharg Island,
Sakhalin Island,4-Jul-17,12-Jul-17,Japan,Sakhalin II,
Sakhalin Island,4-Jul-17,9-Jul-17,Japan,Sakhalin II,
Hakusan,3-Jul-17,21-Jul-17,Japan,Zirku,
Kazusa,3-Jul-17,24-Jul-17,Japan,Mina Al Fahal,
Shinsei Maru,3-Jul-17,4-Jul-17,Japan,Kiire,
Idemitsu Maru,3-Jul-17,28-Jul-17,Japan,Mesaieed,
Negishi Maru,3-Jul-17,4-Jul-17,Japan,Kiire,
Sakuragawa,2-Jul-17,28-Jul-17,Japan,Ras Tanura,
Hakusan,2-Jul-17,21-Jul-17,Japan,Ras Tanura,
Bright Pioneer,2-Jul-17,20-Jul-17,Japan,Das Island,
Eneos Breeze,2-Jul-17,29-Jul-17,Japan,South Pars,
Bright Harmony,2-Jul-17,24-Jul-17,Japan,ADCOP Fujairah,
Jin-Ei,1-Jul-17,26-Jul-17,Japan,Ras Tanura,
Kaimon Maru,1-Jul-17,5-Jul-17,Japan,Okinawa,
Altair Trader,30-Jun-17,22-Jul-17,Japan,ADCOP Fujairah,
Yuri Senkevich,30-Jun-17,4-Jul-17,Japan,Sakhalin I,
Bright Pioneer,30-Jun-17,20-Jul-17,Japan,Ras Tanura,
Ningbo Dawn,29-Jun-17,5-Jul-17,Japan,Kozmino,
Yugawasan,29-Jun-17,20-Jul-17,Japan,Juaymah,
Kazusa,29-Jun-17,24-Jul-17,Japan,Halul Island,
Tokio,29-Jun-17,20-Jul-17,Japan,Al Shaheen I,
Tokyo Maru,29-Jun-17,30-Jun-17,Japan,Kiire,
Takasago,29-Jun-17,20-Jul-17,Japan,Juaymah,
Csk Shelton,28-Jun-17,17-Jul-17,Japan,Ratu Nusantara FPSO,Taiyo Oil
Diamond Destiny,28-Jun-17,10-Jul-17,Japan,Chevron Dumai,
Shinsei Maru,28-Jun-17,30-Jun-17,Japan,Kiire,
Yugawasan,27-Jun-17,20-Jul-17,Japan,Mesaieed,
Tokio,27-Jun-17,20-Jul-17,Japan,Halul Island,
Negishi Maru,27-Jun-17,29-Jun-17,Japan,Kiire,
Rokkosan,27-Jun-17,19-Jul-17,Japan,Mina Al-Ahmadi,
V8 Stealth,26-Jun-17,30-Jun-17,Japan,Kozmino,Trafigura
Nordic Star,26-Jun-17,17-Jul-17,Japan,Al Shaheen II,Total
Takasago,26-Jun-17,20-Jul-17,Japan,Das Island,
Tokio,25-Jun-17,20-Jul-17,Japan,Ras Tanura,
Kaimon Maru,25-Jun-17,27-Jun-17,Japan,Kiire,
Rokkosan,25-Jun-17,19-Jul-17,Japan,Zirku,
Nissho Maru,24-Jun-17,15-Jul-17,Japan,Juaymah,
Kyo-Ei,24-Jun-17,17-Jul-17,Japan,Mina Al-Ahmadi,
Tokyo Maru,24-Jun-17,26-Jun-17,Japan,Kiire,
Takahashi,23-Jun-17,15-Jul-17,Japan,Ras Tanura,
Kiho,23-Jun-17,16-Jul-17,Japan,Al Basrah,
Kiho,23-Jun-17,12-Jul-17,Japan,Al Basrah,
Eneos Ocean,23-Jun-17,11-Jul-17,Japan,ADCOP Fujairah,
Rokkosan,23-Jun-17,19-Jul-17,Japan,ADCOP Fujairah,
Hakkaisan,23-Jun-17,9-Jul-17,Japan,Mina Al Fahal,
Luzon Spirit,22-Jun-17,19-Jul-17,Japan,Panama Light.,
Tohshi,22-Jun-17,15-Jul-17,Japan,Ras Tanura,
Shinsei Maru,22-Jun-17,25-Jun-17,Japan,Kiire,
Okhta Bridge,22-Jun-17,1-Jul-17,Japan,Nipah Light.,
Pavel Chernysh,22-Jun-17,27-Jun-17,Japan,Sakhalin I,
Kashimasan,22-Jun-17,16-Jul-17,Japan,Juaymah,
Kashimasan,22-Jun-17,12-Jul-17,Japan,Juaymah,
Tango,21-Jun-17,14-Jul-17,Japan,Ras Tanura,
Ocean Accord,21-Jun-17,6-Jul-17,Japan,Wandoo,
Negishi Maru,21-Jun-17,23-Jun-17,Japan,Kiire,
Kyo-Ei,20-Jun-17,17-Jul-17,Japan,Mubarraz Island,
Eneos Ocean,20-Jun-17,15-Jul-17,Japan,Das Island,
Eneos Ocean,20-Jun-17,11-Jul-17,Japan,Das Island,
Kaimon Maru,20-Jun-17,22-Jun-17,Japan,Kiire,
Tokyo Maru,20-Jun-17,21-Jun-17,Japan,Kiire,
Tohshi,20-Jun-17,15-Jul-17,Japan,Das Island,
Hakkaisan,19-Jun-17,12-Jul-17,Japan,Juaymah,
Hakkaisan,19-Jun-17,9-Jul-17,Japan,Juaymah,
Eneos Ocean,19-Jun-17,15-Jul-17,Japan,Mina Al-Ahmadi,
Super Zearth,19-Jun-17,13-Jul-17,Japan,Kharg Island,
Fida,19-Jun-17,19-Jul-17,Japan,Nagasaki Light.,
Nichioh,18-Jun-17,10-Jul-17,Japan,Das Island,
Nichioh,18-Jun-17,6-Jul-17,Japan,Das Island,
Eneos Spirit,18-Jun-17,10-Jul-17,Japan,Ras Tanura,
Super Zearth,18-Jun-17,13-Jul-17,Japan,Mina Al-Ahmadi,
Takamatsu Maru,17-Jun-17,10-Jul-17,Japan,Juaymah,
Takamatsu Maru,17-Jun-17,7-Jul-17,Japan,Juaymah,
Eneos Tokyo,17-Jun-17,11-Jul-17,Japan,Ras Tanura,
Eneos Tokyo,17-Jun-17,10-Jul-17,Japan,Ras Tanura,
Yuri Senkevich,17-Jun-17,22-Jun-17,Japan,Sakhalin I,
Shinsei Maru,17-Jun-17,19-Jun-17,Japan,Kiire,
Hovden Spirit,16-Jun-17,2-Jul-17,Japan,EOPL Light.,
Diamond Eternity,16-Jun-17,2-Jul-17,Japan,Vopak Sebarok,
Diamond Eternity,16-Jun-17,28-Jun-17,Japan,Vopak Sebarok,
Diamond Eternity,16-Jun-17,25-Jun-17,Japan,Vopak Sebarok,
Super Zearth,15-Jun-17,13-Jul-17,Japan,Jebel Dhanna,
Negishi Maru,15-Jun-17,17-Jun-17,Japan,Kiire,
Nichioh,15-Jun-17,10-Jul-17,Japan,South Pars,
Tosa,15-Jun-17,5-Jul-17,Japan,Zirku,
Tokyo Maru,15-Jun-17,16-Jun-17,Japan,Kiire,
Yamatogawa,14-Jun-17,8-Jul-17,Japan,Halul Island,
Vega Trader,14-Jun-17,8-Jul-17,Japan,Das Island,
Vega Trader,14-Jun-17,6-Jul-17,Japan,Das Island,
Tenki,14-Jun-17,6-Jul-17,Japan,Yanbu,PetroChina
Eneos Spirit,14-Jun-17,10-Jul-17,Japan,Jebel Dhanna,
Toyo,14-Jun-17,2-Jul-17,Japan,Juaymah,
Tokitsu Maru,14-Jun-17,30-Jun-17,Japan,Mina Al Fahal,
Kaimon Maru,14-Jun-17,16-Jun-17,Japan,Kiire,
Tosa,13-Jun-17,8-Jul-17,Japan,Das Island,
Tosa,13-Jun-17,5-Jul-17,Japan,Das Island,
Yamatogawa,13-Jun-17,11-Jul-17,Japan,Al Shaheen I,
Yamatogawa,13-Jun-17,8-Jul-17,Japan,Al Shaheen I,
Diamond Eternity,13-Jun-17,2-Jul-17,Japan,Chevron Dumai,
Maran Athena,13-Jun-17,4-Jul-17,Japan,Juaymah,PetroChina
Vega Trader,12-Jun-17,8-Jul-17,Japan,Ras Tanura,
Pacific Dawn,11-Jun-17,15-Jun-17,Japan,Kozmino,
Yufusan,11-Jun-17,30-Jun-17,Japan,Ras Tanura,
Yamatogawa,11-Jun-17,11-Jul-17,Japan,Mina Al-Ahmadi,
Tokyo Maru,11-Jun-17,12-Jun-17,Japan,Kiire,
Fujikawa,10-Jun-17,1-Jul-17,Japan,Zirku,
Shizukisan,10-Jun-17,3-Jul-17,Japan,Ras Tanura,
Maran Athena,10-Jun-17,4-Jul-17,Japan,Das Island,PetroChina
Ds Tina,10-Jun-17,16-Jul-17,Japan,Nagasaki Light.,Agritrade
Apollo Dream,10-Jun-17,1-Jul-17,Japan,Ras Tanura,
Shinsei Maru,9-Jun-17,13-Jun-17,Japan,Kiire,
Negishi Maru,9-Jun-17,12-Jun-17,Japan,Kiire,
Fujikawa,9-Jun-17,3-Jul-17,Japan,Juaymah,
Fujikawa,9-Jun-17,1-Jul-17,Japan,Juaymah,
Millennium,9-Jun-17,8-Jul-17,Japan,Linggi Light.,GS Caltex
Libra Trader,9-Jun-17,29-Jun-17,Japan,Al Shaheen I,
Tokitsu Maru,9-Jun-17,30-Jun-17,Japan,Fateh,
Yufusan,8-Jun-17,5-Jul-17,Japan,Das Island,
Yufusan,8-Jun-17,30-Jun-17,Japan,Das Island,
Kaimon Maru,8-Jun-17,10-Jun-17,Japan,Kiire,
Toyo,7-Jun-17,5-Jul-17,Japan,Zirku,
Toyo,7-Jun-17,2-Jul-17,Japan,Zirku,
Aqualegacy,7-Jun-17,4-Jul-17,Japan,Esmeraldas,
Tokitsu Maru,7-Jun-17,30-Jun-17,Japan,Ras Tanura,
Governor Farkhutdinov,7-Jun-17,14-Jun-17,Japan,Sakhalin II,
Governor Farkhutdinov,7-Jun-17,12-Jun-17,Japan,Sakhalin II,
Towada,7-Jun-17,1-Jul-17,Japan,Mina Al-Ahmadi,
Apollo Dream,7-Jun-17,1-Jul-17,Japan,Zirku,
Azumasan,7-Jun-17,28-Jun-17,Japan,Mina Al-Ahmadi,
Azumasan,7-Jun-17,25-Jun-17,Japan,Mina Al-Ahmadi,
Taiga,7-Jun-17,26-Jun-17,Japan,Juaymah,
Dht Falcon,7-Jun-17,27-Jun-17,Japan,Al Rayyan,Cosmo Oil
Libra Trader,7-Jun-17,29-Jun-17,Japan,Ras Tanura,
Tsuruga,6-Jun-17,28-Jun-17,Japan,Mina Al-Ahmadi,
Apollo Dream,6-Jun-17,1-Jul-17,Japan,Halul Island,
Tamba,5-Jun-17,23-Jun-17,Japan,Ras Laffan,
Tsugaru,5-Jun-17,26-Jun-17,Japan,Zirku,
Takamine,5-Jun-17,25-Jun-17,Japan,Al Shaheen I,
Victor Konetsky,5-Jun-17,10-Jun-17,Japan,Sakhalin I,
Shinsei Maru,5-Jun-17,7-Jun-17,Japan,Kiire,
Tsuruga,4-Jun-17,30-Jun-17,Japan,Ras Tanura,
Tsuruga,4-Jun-17,28-Jun-17,Japan,Ras Tanura,
Towada,4-Jun-17,1-Jul-17,Japan,Das Island,
V8 Stealth,4-Jun-17,13-Jun-17,Japan,Kozmino,Trafigura
Tokyo Maru,4-Jun-17,6-Jun-17,Japan,Kiire,
Isuzugawa,3-Jun-17,24-Jun-17,Japan,Juaymah,
Azumasan,3-Jun-17,28-Jun-17,Japan,ADCOP Fujairah,
Tsugaru,3-Jun-17,26-Jun-17,Japan,Kharg Island,
Libra Trader,3-Jun-17,29-Jun-17,Japan,Mubarraz Island,
Nichinori,3-Jun-17,25-Jun-17,Japan,Ras Tanura,
Nichinori,3-Jun-17,22-Jun-17,Japan,Ras Tanura,
Yuri Senkevich,3-Jun-17,6-Jun-17,Japan,Sakhalin I,
Negishi Maru,3-Jun-17,6-Jun-17,Japan,Kiire,
Takamine,2-Jun-17,25-Jun-17,Japan,Das Island,
Kaimon Maru,2-Jun-17,4-Jun-17,Japan,Kiire,
Kasagisan,1-Jun-17,28-Jun-17,Japan,Juaymah,
Kasagisan,1-Jun-17,24-Jun-17,Japan,Juaymah,
Shinsei Maru,1-Jun-17,2-Jun-17,Japan,Kiire,
Takamine,31-May-17,25-Jun-17,Japan,Jebel Dhanna,
Takaoka,31-May-17,17-Jun-17,Japan,Ras Tanura,
El Gurdabia,31-May-17,3-Jun-17,Japan,Kozmino,Trafigura
Taiga,30-May-17,30-Jun-17,Japan,Al Basrah,
Taiga,30-May-17,26-Jun-17,Japan,Al Basrah,
Nichinori,29-May-17,25-Jun-17,Japan,Mina Al-Ahmadi,
Red Moon,29-May-17,7-Jul-17,Japan,CPC Terminal,Chevron
Red Moon,29-May-17,5-Jul-17,Japan,CPC Terminal,Chevron
Tokyo Maru,29-May-17,31-May-17,Japan,Kiire,
Csk Shelton,29-May-17,17-Jun-17,Japan,Ruby,
Dht Falcon,29-May-17,29-Jun-17,Japan,Ras Tanura,Cosmo Oil
Dht Falcon,29-May-17,27-Jun-17,Japan,Ras Tanura,Cosmo Oil
Negishi Maru,29-May-17,31-May-17,Japan,Shibushi,
Maran Gemini,28-May-17,29-Jun-17,Japan,Nagasaki Light.,
Kasagisan,28-May-17,28-Jun-17,Japan,Mesaieed,
Shinsei Maru,28-May-17,29-May-17,Japan,Kiire,
Nave Atropos,28-May-17,20-Jun-17,Japan,Das Island,
Nichinori,27-May-17,25-Jun-17,Japan,Halul Island,
Syros Warrior,27-May-17,30-May-17,Japan,Kozmino,UNIPEC
Tamba,27-May-17,27-Jun-17,Japan,Zirku,
Tamba,27-May-17,23-Jun-17,Japan,Zirku,
Toba,27-May-17,19-Jun-17,Japan,Ras Tanura,
Toba,27-May-17,17-Jun-17,Japan,Ras Tanura,
Kaimon Maru,27-May-17,29-May-17,Japan,Kiire,
Mars Sun,26-May-17,18-Jun-17,Japan,Chevron Dumai,
Red,26-May-17,27-Jun-17,Japan,Panama Light.,Cosmo Oil
Red,26-May-17,25-Jun-17,Japan,Panama Light.,Cosmo Oil
Diamond Faith,26-May-17,14-Jun-17,Japan,Wandoo,
Asian Progress Iii,26-May-17,17-Jun-17,Japan,ADCOP Fujairah,
Asian Progress Iii,26-May-17,14-Jun-17,Japan,ADCOP Fujairah,
Mitake,26-May-17,16-Jun-17,Japan,Ras Tanura,
Mitake,26-May-17,12-Jun-17,Japan,Ras Tanura,
Chokaisan,25-May-17,28-Jun-17,Japan,Juaymah,
Negishi Maru,25-May-17,31-May-17,Japan,Okinawa,
Tokyo Maru,25-May-17,26-May-17,Japan,Kiire,
Sakhalin Island,25-May-17,2-Jun-17,Japan,Sakhalin II,
Limerick Spirit,25-May-17,11-Jun-17,Japan,Bunga Orkid,
Diamond Faith,25-May-17,14-Jun-17,Japan,Dampier Spirit,
Yakumosan,24-May-17,16-Jun-17,Japan,ADCOP Fujairah,
Lian Xing Hu,23-May-17,24-Jun-17,Japan,Hong Kong Light.,
Shinsei Maru,23-May-17,24-May-17,Japan,Kiire,
Tsurumi,22-May-17,16-Jun-17,Japan,Ras Tanura,
Omega Trader,22-May-17,14-Jun-17,Japan,Halul Island,
Csk Shelton,22-May-17,17-Jun-17,Japan,Nagasaki Light.,
Yakumosan,21-May-17,16-Jun-17,Japan,Ras Tanura,
Mesdar,21-May-17,11-Jun-17,Japan,Ras Tanura,PetroChina
Tokyo Maru,21-May-17,22-May-17,Japan,Kiire,
Hakusan,20-May-17,9-Jun-17,Japan,Ras Tanura,
Hakusan,20-May-17,6-Jun-17,Japan,Ras Tanura,
Kaimon Maru,20-May-17,23-May-17,Japan,Kiire,
Red,20-May-17,1-Jul-17,Japan,Salina Cruz,Cosmo Oil
Red,20-May-17,27-Jun-17,Japan,Salina Cruz,Cosmo Oil
Omega Trader,19-May-17,14-Jun-17,Japan,Das Island,
Tsurumi,19-May-17,16-Jun-17,Japan,Halul Island,
Shinsei Maru,19-May-17,20-May-17,Japan,Kiire,
Negishi Maru,19-May-17,21-May-17,Japan,Kiire,
Mesdar,18-May-17,11-Jun-17,Japan,Mesaieed,PetroChina
Tsurumi,17-May-17,16-Jun-17,Japan,Jebel Dhanna,
V8 Stealth,17-May-17,28-May-17,Japan,Kozmino,Trafigura
Takasaki,17-May-17,6-Jun-17,Japan,Mina Al-Ahmadi,
Altair Trader,17-May-17,5-Jun-17,Japan,Das Island,
Zaliv Aniva,16-May-17,24-May-17,Japan,Sakhalin II,
Kaimon Maru,16-May-17,17-May-17,Japan,Kiire,
Takasaki,16-May-17,12-Jun-17,Japan,Ras Tanura,
Takasaki,16-May-17,6-Jun-17,Japan,Ras Tanura,
El Gurdabia,16-May-17,20-May-17,Japan,Kozmino,Trafigura
Peak Spirit,16-May-17,27-May-17,Japan,Chevron Dumai,
Altair Trader,15-May-17,7-Jun-17,Japan,Mina Al-Ahmadi,
Altair Trader,15-May-17,5-Jun-17,Japan,Mina Al-Ahmadi,
Tokyo Maru,14-May-17,17-May-17,Japan,Kiire,
Idemitsu Maru,14-May-17,6-Jun-17,Japan,Juaymah,
Sapporo Princess,14-May-17,1-Jun-17,Japan,Ratu Nusantara FPSO,
Shinsei Maru,14-May-17,15-May-17,Japan,Kiire,
Bright Pioneer,13-May-17,2-Jun-17,Japan,Zirku,
Sakuragawa,13-May-17,5-Jun-17,Japan,Ras Tanura,
Jin-Ei,13-May-17,6-Jun-17,Japan,Juaymah,
Altair Trader,13-May-17,7-Jun-17,Japan,Zirku,
Bright Pioneer,13-May-17,2-Jun-17,Japan,Das Island,
Bright Harmony,12-May-17,3-Jun-17,Japan,Mina Al-Ahmadi,
Negishi Maru,12-May-17,15-May-17,Japan,Kiire,
Kazusa,12-May-17,4-Jun-17,Japan,ADCOP Fujairah,
Kazusa,12-May-17,3-Jun-17,Japan,ADCOP Fujairah,
Kazusa,12-May-17,1-Jun-17,Japan,ADCOP Fujairah,
Diamond Eternity,12-May-17,26-May-17,Japan,Chevron Dumai,
Diamond Eternity,12-May-17,23-May-17,Japan,Chevron Dumai,
Aquarius Wing,12-May-17,4-Jun-17,Japan,Yanbu,Taiyo Oil
Jin-Ei,11-May-17,10-Jun-17,Japan,Zirku,
Jin-Ei,11-May-17,6-Jun-17,Japan,Zirku,
Sakuragawa,11-May-17,5-Jun-17,Japan,Jebel Dhanna,
Takahashi,10-May-17,31-May-17,Japan,Mina Al-Ahmadi,
Idemitsu Maru,10-May-17,6-Jun-17,Japan,Halul Island,
Eser K,10-May-17,17-May-17,Japan,Kozmino,PetroChina
Bright Harmony,10-May-17,3-Jun-17,Japan,Das Island,
Yugawasan,10-May-17,31-May-17,Japan,Zirku,
Rokkosan,10-May-17,30-May-17,Japan,Juaymah,
Eneos Breeze,10-May-17,30-May-17,Japan,Kharg Island,
Bright Pioneer,10-May-17,2-Jun-17,Japan,Mina Al Fahal,
Setagawa,10-May-17,12-Jun-17,Japan,Das Island,
Setagawa,10-May-17,4-Jun-17,Japan,Das Island,
Tokyo Maru,9-May-17,11-May-17,Japan,Kiire,
Pacific Dawn,9-May-17,20-May-17,Japan,Pelepas Light.,
Kashimasan,9-May-17,30-May-17,Japan,ADCOP Fujairah,
Kashimasan,9-May-17,27-May-17,Japan,ADCOP Fujairah,
Kaimon Maru,9-May-17,11-May-17,Japan,Kiire,
Victor Konetsky,9-May-17,14-May-17,Japan,Sakhalin I,
Yugawasan,9-May-17,31-May-17,Japan,Ras Tanura,
Takahashi,9-May-17,31-May-17,Japan,Ras Tanura,
Lian Shun Hu,8-May-17,14-May-17,Japan,Dalian,
Setagawa,8-May-17,12-Jun-17,Japan,Zirku,
Eneos Breeze,8-May-17,30-May-17,Japan,Das Island,
Kiho,7-May-17,28-May-17,Japan,Juaymah,
Kiho,7-May-17,24-May-17,Japan,Juaymah,
Negishi Maru,7-May-17,9-May-17,Japan,Kiire,
Bright Harmony,7-May-17,6-Jun-17,Japan,Zirku,
Bright Harmony,7-May-17,3-Jun-17,Japan,Zirku,
Setagawa,7-May-17,12-Jun-17,Japan,Halul Island,
Victory I,7-May-17,28-May-17,Japan,Tanjung Bruas Light.,Statoil ASA
Tosa,6-May-17,25-May-17,Japan,Ras Tanura,
Shinsei Maru,6-May-17,9-May-17,Japan,Kiire,
Tokyo Maru,6-May-17,7-May-17,Japan,Kiire,
Eneos Breeze,6-May-17,7-Jun-17,Japan,Assaluyeh,
Eneos Breeze,6-May-17,1-Jun-17,Japan,Assaluyeh,
Eneos Breeze,6-May-17,30-May-17,Japan,Assaluyeh,
Takahashi,6-May-17,31-May-17,Japan,Mubarraz Island,
Rokkosan,5-May-17,2-Jun-17,Japan,Halul Island,
Rokkosan,5-May-17,30-May-17,Japan,Halul Island,
Leyte Spirit,5-May-17,12-May-17,Japan,Kozmino,
Hakkaisan,5-May-17,28-May-17,Japan,Juaymah,
Hakkaisan,5-May-17,25-May-17,Japan,Juaymah,
Eneos Tokyo,4-May-17,26-May-17,Japan,Das Island,
Pacific Dawn,4-May-17,20-May-17,Japan,Ruby,
Takamatsu Maru,4-May-17,25-May-17,Japan,Juaymah,
Takamatsu Maru,4-May-17,21-May-17,Japan,Juaymah,
Kyo-Ei,4-May-17,29-May-17,Japan,Mina Al-Ahmadi,
Kyo-Ei,4-May-17,26-May-17,Japan,Mina Al-Ahmadi,
