"reason","imo","operation_date","report_date","archive_time","grade","grade_raw","quantity","port","operation_raw","operation","rank_operation","direction","lo_country_code","lo_city_code","charterer","supplier","receiver","source_file","source_sheet","source_imo","min_dist","bargo"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","AMOREA","2016-12-06","2017-08-08","2017-08-08","GS018","Unleaded","91326.0","MT","bldate","Bill date","14","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9379624&startdate=2016-11-25&enddate=2016-12-17"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","HAFNIA EUROPE","2017-02-01","2017-08-08","2017-08-08","GS018","Unleaded","62692.0","MT","bldate","Bill date","14","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9336490&startdate=2017-01-21&enddate=2017-02-12"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","MARIANN","2017-01-14","2017-08-08","2017-08-08","MD008","Gasoil","37448.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9326897&startdate=2017-01-03&enddate=2017-01-25"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","PTI HERCULES","2017-03-19","2017-08-08","2017-08-08","GS017","Regular Unleaded","37352.0","MT","bldate","Bill date","14","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9358307&startdate=2017-03-08&enddate=2017-03-30"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","BALTIC COMMANDER I","2017-04-24","2017-08-08","2017-08-08","MD008","GasOil / Diesel / 2 Oils, TBC","37340.0","MT","arriveddate","Arrived","1","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9208112&startdate=2017-04-13&enddate=2017-05-05"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","FURE NORD","2017-03-17","2017-08-08","2017-08-08","MD004","0.001 / 10ppm","30000.0","MT","arriveddate","Arrived","1","Discharge","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9271884&startdate=2017-03-06&enddate=2017-03-28"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","PHOENIX AN","2017-04-29","2017-08-08","2017-08-08","MD008","Gasoil","19409.0","MT","arriveddate","Arrived","1","Discharge","TR","DLV ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9299496&startdate=2017-04-18&enddate=2017-05-10"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","STI COMANDANTE","2017-03-03","2017-08-08","2017-08-08","GS018","Gasoline","16317.0","MT","saileddate","Sailed","10","Discharge","GB","MLF ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9686857&startdate=2017-02-20&enddate=2017-03-14"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","STEN MOSTER","2017-07-10","2017-08-10","2017-08-10","MD008","Gasoil","15500.0","MT","arriveddate","Arrived","1","Load","BE","GNE ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9341184&startdate=2017-06-29&enddate=2017-07-21"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","ADFINES SKY","2017-01-17","2017-08-08","2017-08-08","GS002","Alkylate","14976.0","MT","bldate","Bill date","14","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9580986&startdate=2017-01-06&enddate=2017-01-28"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","STEN FJELL","2016-12-20","2017-08-08","2017-08-08","GS037","HCCS (High Catalytic Cracked Spirit)","14175.0","MT","bldate","Bill date","14","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9460241&startdate=2016-12-09&enddate=2016-12-31"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","SLOMAN HERMES","2017-01-16","2017-08-08","2017-08-08","GS018","Catalytic Cracked Spirit","13450.0","MT","bldate","Bill date","14","Discharge","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9466738&startdate=2017-01-05&enddate=2017-01-27"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","PATARA","2016-12-16","2017-08-08","2017-08-08","GS011","Naphtha","12500.0","MT","arriveddate","Arrived","1","Discharge","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9344423&startdate=2016-12-05&enddate=2016-12-27"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","ELI KNUTSEN","2016-12-15","2017-08-08","2017-08-08","GS019","EBOB","12356.0","MT","bldate","Bill date","14","Discharge","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9409261&startdate=2016-12-04&enddate=2016-12-26"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","BESIKTAS ZEALAND","2017-05-23","2017-08-08","2017-08-08","GS028","Gasoline + Blending Components, TBC","8609.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9431044&startdate=2017-05-12&enddate=2017-06-03"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","STEN MOSTER","2014-03-07","2017-08-08","2017-08-08","GS011","Naphtha","8453.0","MT","arriveddate","Arrived","1","Discharge","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9341184&startdate=2014-02-24&enddate=2014-03-18"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","COLORADO STAR","2017-05-19","2017-08-08","2017-08-08","BF005","B100 - FATTY ACID METHYL ESTER (FAME)","7883.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9527609&startdate=2017-05-08&enddate=2017-05-30"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","CLAUS","2017-01-06","2017-08-08","2017-08-08","GS004","Benzene Concentrate","6900.0","MT","bldate","Bill date","14","Load","GB","MLF ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9268253&startdate=2016-12-26&enddate=2017-01-17"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","NORDIC THERESA","2016-11-16","2017-08-08","2017-08-08","GS013","Pygas","6297.0","MT","bldate","Bill date","14","Discharge","BE","GNE ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9428437&startdate=2016-11-05&enddate=2016-11-27"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","SICHEM OSPREY","2016-12-09","2017-08-08","2017-08-08","GS013","Heavy Pygas","6283.0","MT","bldate","Bill date","14","Discharge","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9396024&startdate=2016-11-28&enddate=2016-12-20"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","SAMPATIKI","2017-05-04","2017-08-08","2017-08-08","MD004","ULSD 10ppm","5898.0","MT","arriveddate","Arrived","1","Discharge","GR","PIR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9405772&startdate=2017-04-23&enddate=2017-05-15"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","VF TANKER-13","2017-06-03","2017-08-08","2017-08-08","GS011","Naphtha","5533.0","MT","arriveddate","Arrived","1","Discharge","TR","ALI ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9645023&startdate=2017-05-23&enddate=2017-06-14"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","ELSA ESSBERGER","2017-04-22","2017-08-08","2017-08-08","GS013","Pygas","4693.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9481001&startdate=2017-04-11&enddate=2017-05-03"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","FURE NORD","2017-03-17","2017-08-08","2017-08-08","GS051","Light Hydro Crackate","4543.0","MT","arriveddate","Arrived","1","Discharge","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9271884&startdate=2017-03-06&enddate=2017-03-28"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","PACIFIC","2016-12-30","2017-08-08","2017-08-08","GS013","Pygas","3099.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9308900&startdate=2016-12-19&enddate=2017-01-10"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","NAVIGATOR CERES","2017-06-06","2017-08-08","2017-08-08","GS049","Raffinate","2999.0","MT","arriveddate","Arrived","1","Load","NL","TNZ ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9704518&startdate=2017-05-26&enddate=2017-06-17"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","HANNE THERESA","2017-02-19","2017-08-08","2017-08-08","GS009","Ethanol Blend","2967.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9246918&startdate=2017-02-08&enddate=2017-03-02"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","ISTOROMI","2017-02-21","2017-08-08","2017-08-08","GS010","Methyl Tert-Butyl Ether (MTBE)","2624.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9322372&startdate=2017-02-10&enddate=2017-03-04"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","WESTSTELLINGWERF","2017-01-12","2017-08-08","2017-08-08","GS011","Naphtha","2365.0","MT","bertheddate","Berthed","2","Discharge","BE","ANR ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=13947&startdate=2017-01-01&enddate=2017-01-23"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","COOLWATER","2017-05-22","2017-08-08","2017-08-08","GS004","Benzene","2100.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9377949&startdate=2017-05-11&enddate=2017-06-02"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","FELLOWSHIP","2017-03-22","2017-08-08","2017-08-08","GS010","MTBE","2096.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9468334&startdate=2017-03-11&enddate=2017-04-02"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","SOMTRANS XVI","2017-04-14","2017-08-08","2017-08-08","MD004","ULSD 10ppm","2003.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9570072&startdate=2017-04-03&enddate=2017-04-25"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","DUBAI","2017-05-29","2017-08-08","2017-08-08","MD004","ULSD","1997.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8404226&startdate=2017-05-18&enddate=2017-06-09"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","PUCCINI","2017-06-20","2017-08-08","2017-08-08","GS031","RBOB (Reformulated Gasoline BOB)","1900.0","MT","arriveddate","Arrived","1","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9156993&startdate=2017-06-09&enddate=2017-07-01"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","ADMIRAL","2017-03-27","2017-08-08","2017-08-08","GS019","Eurobob","1897.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9234616&startdate=2017-03-16&enddate=2017-04-07"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","PUCCINI","2017-06-26","2017-08-08","2017-08-08","GS019","Eurobob","1862.0","MT","arriveddate","Arrived","1","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9156993&startdate=2017-06-15&enddate=2017-07-07"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","PUCCINI","2017-06-20","2017-08-08","2017-08-08","GS019","Eurobob","1854.0","MT","arriveddate","Arrived","1","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9156993&startdate=2017-06-09&enddate=2017-07-01"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","THRESHER","2017-06-08","2017-08-08","2017-08-08","GS049","Raffinate-1","1583.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9377951&startdate=2017-05-28&enddate=2017-06-19"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","RIVA","2017-01-24","2017-08-08","2017-08-08","GS010","MTBE","1248.0","MT","arriveddate","Arrived","1","Discharge","NL","AMS ","","","","gs101","","manual modification","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9576208&startdate=2017-01-13&enddate=2017-02-04"
"ARRIVAL: most recent arrival between 10 and 60 days, but with other arrivals in between","PUCCINI","2017-06-20","2017-08-08","2017-08-08","GS019","EBOB","0.0","MT","arriveddate","Arrived","1","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9156993&startdate=2017-06-09&enddate=2017-07-01"
"ARRIVAL: most recent arrival later than 60 days ","KRITI AMETHYST","2017-01-27","2017-08-08","2017-08-08","MD008","Gasoil","27079.0","MT","arriveddate","Arrived","1","Discharge","TR","DLV ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9074999&startdate=2017-01-16&enddate=2017-02-07"
"ARRIVAL: most recent arrival later than 60 days ","BALTIC SOUL","2017-03-11","2017-08-08","2017-08-08","MD008","GasOil / Diesel / 2 Oils, TBC","16421.0","MT","arriveddate","Arrived","1","Discharge","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9228813&startdate=2017-02-28&enddate=2017-03-22"
"ARRIVAL: most recent arrival later than 60 days ","STOLT JAEGER","2016-12-25","2017-08-08","2017-08-08","BF002","Biodiesel","6177.0","MT","arriveddate","Arrived","1","Load","BE","GNE ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9114775&startdate=2016-12-14&enddate=2017-01-05"
"ARRIVAL: most recent arrival later than 60 days ","METIN KA","2017-01-18","2017-08-08","2017-08-08","MD004","ULSD","5204.0","MT","bertheddate","Berthed","2","Load","TR","IZT ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9445382&startdate=2017-01-07&enddate=2017-01-29"
"ARRIVAL: most recent arrival later than 60 days ","METIN KA","2017-01-07","2017-08-08","2017-08-08","MD004","ULSD","5204.0","MT","arriveddate","Arrived","1","Load","TR","IZT ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9445382&startdate=2016-12-27&enddate=2017-01-18"
"ARRIVAL: most recent arrival later than 60 days ","STOLT GROENLAND","2017-03-11","2017-08-08","2017-08-08","BF005","Bottom Distillated Methyl Ester","4993.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9414072&startdate=2017-02-28&enddate=2017-03-22"
"ARRIVAL: most recent arrival later than 60 days ","RIROIL 5","2016-12-20","2017-08-08","2017-08-08","GS018","Gasoline","3998.0","MT","arriveddate","Arrived","1","Discharge","GR","PIR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9175248&startdate=2016-12-09&enddate=2016-12-31"
"ARRIVAL: most recent arrival later than 60 days ","NORDIC SUND","2017-02-27","2017-08-08","2017-08-08","GS009","Ethanol","2502.0","MT","arriveddate","Arrived","1","Discharge","GB","HUL ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9375977&startdate=2017-02-16&enddate=2017-03-10"
"ARRIVAL: most recent arrival later than 60 days ","ELSASS","2017-01-16","2017-08-08","2017-08-08","BF002","Biodiesel","1998.0","MT","arriveddate","Arrived","1","Load","BE","GNE ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8818257&startdate=2017-01-05&enddate=2017-01-27"
"ARRIVAL: most recent arrival later than 60 days ","DUBAI","2017-04-08","2017-08-08","2017-08-08","MD004","ULSD","1695.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8404226&startdate=2017-03-28&enddate=2017-04-19"
"ARRIVAL: most recent arrival later than 60 days ","AMONITH","2016-12-29","2017-08-08","2017-08-08","AA101","GasCondensate","1600.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9164093&startdate=2016-12-18&enddate=2017-01-09"
"ARRIVAL: most recent arrival later than 60 days ","AMONITH","2016-12-28","2017-08-08","2017-08-08","AA101","GasCondensate","1325.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9164093&startdate=2016-12-17&enddate=2017-01-08"
"ARRIVAL: most recent arrival later than 60 days ","RIVER PRIDE","2017-02-25","2017-08-08","2017-08-08","GS010","MTBE","950.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9323986&startdate=2017-02-14&enddate=2017-03-08"
"ARRIVAL: no arrival match","LAVELA","2017-03-08","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","34555.0","MT","arriveddate","Arrived","1","Load","GR","AGT ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9381512&startdate=2017-02-25&enddate=2017-03-19"
"ARRIVAL: no arrival match","NORIENT SOLAR","2017-02-12","2017-08-08","2017-08-08","GS018","Gasoline","33276.0","MT","bldate","Bill date","14","Discharge","GB","LON ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9396373&startdate=2017-02-01&enddate=2017-02-23"
"ARRIVAL: no arrival match","PHOENIX AN","2017-04-03","2017-08-08","2017-08-08","MD004","ULSD 10ppm","29972.0","MT","arriveddate","Arrived","1","Load","GR","AGT ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9299496&startdate=2017-03-23&enddate=2017-04-14"
"ARRIVAL: no arrival match","ARION","2017-04-08","2017-08-08","2017-08-08","MD004","ULSD 10ppm","29956.0","MT","arriveddate","Arrived","1","Load","GR","AGT ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9232175&startdate=2017-03-28&enddate=2017-04-19"
"ARRIVAL: no arrival match","KING EMERALD","2017-06-19","2017-08-08","2017-08-08","GS011","Naphtha","29949.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9267027&startdate=2017-06-08&enddate=2017-06-30"
"ARRIVAL: no arrival match","MARLIN APATITE","2017-05-25","2017-08-08","2017-08-08","MD008","Gasoil","20504.0","MT","arriveddate","Arrived","1","Discharge","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9721891&startdate=2017-05-14&enddate=2017-06-05"
"ARRIVAL: no arrival match","ANDROMEDA","2017-02-01","2017-08-08","2017-08-08","MD004","0.001 / 10ppm","16789.0","MT","bldate","Bill date","14","Discharge","GR","SKG ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9315795&startdate=2017-01-21&enddate=2017-02-12"
"ARRIVAL: no arrival match","SICHEM EAGLE","2017-01-14","2017-08-08","2017-08-08","BF002","Biodiesel","16759.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9388704&startdate=2017-01-03&enddate=2017-01-25"
"ARRIVAL: no arrival match","LEANDER","2017-04-15","2017-08-08","2017-08-08","MD004","ULSD","11500.0","MT","arriveddate","Arrived","1","Discharge","GB","PLY ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8114998&startdate=2017-04-04&enddate=2017-04-26"
"ARRIVAL: no arrival match","LEANDER","2017-04-15","2017-08-08","2017-08-08","MD003","Diesel","11285.0","MT","arriveddate","Arrived","1","Discharge","GB","PLY ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8114998&startdate=2017-04-04&enddate=2017-04-26"
"ARRIVAL: no arrival match","AIGRAN D","2017-05-31","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","9508.0","MT","arriveddate","Arrived","1","Load","GB","ELL ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9138408&startdate=2017-05-20&enddate=2017-06-11"
"ARRIVAL: no arrival match","CAROLINE ESSBERGER","2017-03-07","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","7660.0","MT","arriveddate","Arrived","1","Discharge","GB","LON ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9439151&startdate=2017-02-24&enddate=2017-03-18"
"ARRIVAL: no arrival match","MED ARCTIC","2017-02-14","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","7600.0","MT","arriveddate","Arrived","1","Discharge","GB","LON ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9410545&startdate=2017-02-03&enddate=2017-02-25"
"ARRIVAL: no arrival match","NORTHSEA ALPHA","2017-01-29","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","7329.0","MT","arriveddate","Arrived","1","Discharge","GB","LON ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9547764&startdate=2017-01-18&enddate=2017-02-09"
"ARRIVAL: no arrival match","BOMAR SEDNA","2017-01-02","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","7100.0","MT","arriveddate","Arrived","1","Discharge","GB","LON ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9383651&startdate=2016-12-22&enddate=2017-01-13"
"ARRIVAL: no arrival match","CAROLINE THERESA","2017-04-14","2017-08-08","2017-08-08","BF005","Fame","7033.0","MT","arriveddate","Arrived","1","Discharge","GB","LON ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9428449&startdate=2017-04-03&enddate=2017-04-25"
"ARRIVAL: no arrival match","CAROLINE THERESA","2017-04-23","2017-08-08","2017-08-08","BF005","Fame","7016.0","MT","arriveddate","Arrived","1","Discharge","GB","LON ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9428449&startdate=2017-04-12&enddate=2017-05-04"
"ARRIVAL: no arrival match","ANNELISE THERESA","2017-08-04","2017-08-09","2017-08-09","BF005","FATTY ACID METHYL ESTER (FAME)","7000.0","MT","arriveddate","Arrived","1","Discharge","GB","LON ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9478286&startdate=2017-07-24&enddate=2017-08-15"
"ARRIVAL: no arrival match","CAROLINE THERESA","2017-06-13","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","7000.0","MT","bertheddate","Berthed","2","Discharge","GB","TEE ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9428449&startdate=2017-06-02&enddate=2017-06-24"
"ARRIVAL: no arrival match","ANNELISE THERESA","2017-06-02","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","7000.0","MT","arriveddate","Arrived","1","Discharge","GB","LON ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9478286&startdate=2017-05-22&enddate=2017-06-13"
"ARRIVAL: no arrival match","KARINA THERESA","2017-07-13","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","6998.0","MT","arriveddate","Arrived","1","Discharge","GB","LON ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9428451&startdate=2017-07-02&enddate=2017-07-24"
"ARRIVAL: no arrival match","ANNELISE THERESA","2017-06-30","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","6995.0","MT","arriveddate","Arrived","1","Discharge","GB","LON ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9478286&startdate=2017-06-19&enddate=2017-07-11"
