"reason","imo","operation_date","report_date","archive_time","grade","grade_raw","quantity","port","operation_raw","operation","rank_operation","direction","lo_country_code","lo_city_code","charterer","supplier","receiver","source_file","source_sheet","source_imo","min_dist","bargo"
"ARRIVAL: no arrival match","VANCOUVER","2017-03-14","2017-08-08","2017-08-08","GS051","Splitter Bottoms","3100.0","MT","arriveddate","Arrived","1","Load","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-03-03&enddate=2017-03-25"
"ARRIVAL: no arrival match","PUCCINI","2017-06-22","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","3052.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9156993&startdate=2017-06-11&enddate=2017-07-03"
"ARRIVAL: no arrival match","COASTALWATER","2017-07-19","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","3039.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9205158&startdate=2017-07-08&enddate=2017-07-30"
"ARRIVAL: no arrival match","COMPAAN","2017-02-12","2017-08-08","2017-08-08","GS014","Reformate","3034.0","MT","arriveddate","Arrived","1","Load","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-02-01&enddate=2017-02-23"
"ARRIVAL: no arrival match","ALAND","2017-03-17","2017-08-08","2017-08-08","BF002","Biodiesel","3002.0","MT","arriveddate","Arrived","1","Discharge","GB","SOU ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9487380&startdate=2017-03-06&enddate=2017-03-28"
"ARRIVAL: no arrival match","VANCOUVER","2017-01-21","2017-08-08","2017-08-08","GS051","Splitter Bottoms","3002.0","MT","arriveddate","Arrived","1","Discharge","NL","RTM ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-01-10&enddate=2017-02-01"
"ARRIVAL: no arrival match","VANCOUVER","2017-07-11","2017-08-08","2017-08-08","GS013","Pygas","2993.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9373955&startdate=2017-06-30&enddate=2017-07-22"
"ARRIVAL: no arrival match","ELSE MARIE THERESA","2017-07-14","2017-08-08","2017-08-08","BF002","Biodiesel","2952.0","MT","arriveddate","Arrived","1","Load","BE","GNE ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9237864&startdate=2017-07-03&enddate=2017-07-25"
"ARRIVAL: no arrival match","COMPAAN","2017-02-25","2017-08-08","2017-08-08","GS061","Toluene/Xylene Mix","2861.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-02-14&enddate=2017-03-08"
"ARRIVAL: no arrival match","CRISTINA","2017-04-12","2017-08-08","2017-08-08","MD001","GasOil / Diesel / 2 Oils, Blend Component","2800.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9489546&startdate=2017-04-01&enddate=2017-04-23"
